price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_renovated,lat,long,sqft_living15,sqft_lot15,year_sold,month_sold,age_of_building,zipcode
345000.0,3.0,2.5,1680.0,2229.0,2.0,0,0,3.0,7,1680,0.0,0,47.7484,-122.322,1230.0,9300,2014,06,16.0,98155
1500000.0,5.0,3.5,4370.0,12240.0,2.0,0,0,3.0,11,3270,1100.0,0,47.582,-122.199,2980.0,12800,2014,08,33.0,98004
240000.0,4.0,2.5,1980.0,7264.0,2.0,0,0,3.0,7,1980,0.0,0,47.3678,-122.019,1600.0,6380,2014,12,27.0,98038
625000.0,3.0,2.5,2120.0,10021.0,1.0,0,0,4.0,8,1230,890.0,0,47.5621,-122.135,2690.0,10183,2015,04,47.0,98006
472500.0,3.0,2.5,1650.0,3711.0,2.0,0,0,3.0,8,1650,0.0,0,47.6863,-122.093,1760.0,3762,2014,09,27.0,98052
205000.0,4.0,1.0,1030.0,6621.0,1.0,0,0,4.0,6,1030,0.0,0,47.4857,-122.221,1420.0,6631,2014,12,68.0,98057
279000.0,3.0,1.0,1110.0,6060.0,1.0,0,0,3.0,6,1110,0.0,0,47.4705,-122.352,1480.0,8100,2015,02,74.0,98166
549000.0,,2.5,1710.0,9720.0,2.0,0,0,4.0,8,1710,0.0,0,47.5903,-122.157,2270.0,9672,2014,08,49.0,98005
1575000.0,3.0,3.0,2610.0,22672.0,1.5,1,4,4.0,8,2610,0.0,0,47.4414,-122.354,2810.0,22672,2014,11,71.0,98166
365000.0,3.0,2.5,2190.0,5091.0,,0,0,3.0,8,2190,0.0,0,47.3506,-122.039,2200.0,5948,2014,08,19.0,98038
250000.0,3.0,1.5,2840.0,10182.0,1.0,0,0,3.0,8,1510,1330.0,0,47.524,-122.2,2210.0,9669,2015,01,72.0,98056
1345000.0,4.0,3.25,3440.0,4920.0,2.0,0,4,3.0,10,2520,920.0,0,47.5727,-122.409,2350.0,5166,2015,03,9.0,98116
515000.0,4.0,1.75,1730.0,7980.0,1.0,0,0,4.0,8,1730,0.0,0,47.6219,-122.138,2080.0,8400,2014,09,58.0,98007
179900.0,3.0,1.75,1230.0,12000.0,1.0,0,0,3.0,6,1230,0.0,0,47.2878,-122.251,1550.0,12000,2014,09,53.0,98001
215000.0,3.0,1.5,1410.0,8415.0,1.0,0,0,4.0,7,780,630.0,0,47.2914,-122.368,1440.0,7361,2015,03,41.0,98023
445000.0,4.0,2.5,2360.0,81892.0,1.0,0,0,3.0,8,2360,0.0,0,47.369,-122.156,1730.0,18096,2014,09,23.0,98042
1928000.0,4.0,3.25,4280.0,20296.0,2.0,0,0,4.0,11,4280,0.0,0,47.6377,-122.212,3420.0,16351,2014,10,39.0,98004
589950.0,4.0,2.5,3190.0,8195.0,2.0,0,0,3.0,10,3190,0.0,0,47.3555,-122.003,3400.0,7607,2014,06,17.0,98038
300000.0,3.0,2.0,1451.0,7159.0,1.0,0,0,3.0,7,1451,0.0,0,47.3754,-122.163,2303.0,6126,2015,03,13.0,98042
484950.0,3.0,2.25,1670.0,5004.0,2.0,0,0,3.0,8,1670,0.0,0,47.5688,-122.017,1850.0,5276,2015,02,36.0,98075
224000.0,4.0,1.5,1600.0,9289.0,1.0,0,0,4.0,7,1600,0.0,0,47.3107,-122.212,1540.0,9918,2014,06,64.0,98002
299900.0,3.0,2.5,1210.0,2046.0,2.0,0,0,3.0,9,920,290.0,0,47.5212,-122.357,1070.0,651,2014,10,15.0,98106
350000.0,4.0,2.75,3390.0,16153.0,1.0,0,0,4.0,7,1970,1420.0,0,47.3954,-122.184,2530.0,8495,2014,10,62.0,98031
142000.0,0.0,0.0,290.0,20875.0,1.0,0,0,1.0,1,290,0.0,0,47.5308,-121.888,1620.0,22850,2014,09,60.0,98024
294000.0,2.0,1.0,820.0,6366.0,1.0,0,0,5.0,6,820,0.0,0,47.7512,-122.34,1580.0,10169,2014,07,71.0,98133
,2.0,1.0,830.0,5720.0,1.0,0,0,4.0,6,830,0.0,0,47.7339,-122.339,1150.0,5250,2014,10,73.0,98133
305000.0,3.0,,2110.0,7665.0,1.0,0,0,4.0,7,1360,750.0,0,47.3082,-122.372,1660.0,8436,2014,06,50.0,98023
275000.0,3.0,2.5,1730.0,5799.0,2.0,0,0,4.0,7,1730,0.0,0,47.3499,-122.177,1710.0,6490,2014,09,36.0,98030
337000.0,3.0,1.75,1310.0,12750.0,1.0,0,0,3.0,7,1310,0.0,0,47.4695,-122.07,1790.0,13500,2014,06,30.0,98059
426000.0,3.0,2.5,2210.0,5750.0,2.0,0,0,3.0,7,1710,500.0,1,47.5525,-122.366,1350.0,5750,2015,04,109.0,98106
115000.0,,1.0,1000.0,16524.0,1.0,0,0,3.0,5,1000,0.0,0,47.2841,-122.255,1350.0,10208,2014,12,,98001
149000.0,3.0,1.0,1090.0,2800.0,1.0,0,0,3.0,6,1090,0.0,0,47.3162,-122.183,1040.0,2960,2014,09,54.0,98092
375000.0,3.0,2.0,2240.0,5200.0,1.0,0,0,3.0,7,1630,610.0,0,47.6191,-122.296,1470.0,3775,2015,02,69.0,98122
657500.0,4.0,1.5,1910.0,5000.0,1.5,0,0,3.0,7,1610,300.0,0,47.6597,-122.29,2170.0,5000,2014,09,111.0,98105
595000.0,4.0,1.75,1880.0,4080.0,1.0,0,0,3.0,7,940,940.0,0,47.6754,-122.327,1410.0,4080,2015,03,99.0,98115
453000.0,4.0,2.5,2502.0,8306.0,2.0,0,0,3.0,9,2502,0.0,0,47.2953,-122.265,2597.0,6983,2015,03,10.0,98001
414000.0,2.0,1.0,800.0,5000.0,1.0,0,0,3.0,6,800,0.0,0,47.4914,-122.204,1220.0,5000,2015,04,85.0,98057
330000.0,4.0,2.5,1940.0,3784.0,2.0,0,0,3.0,8,1940,0.0,0,47.4513,-122.119,1940.0,4499,2014,05,20.0,98058
313500.0,2.0,1.5,1270.0,1282.0,2.0,0,0,3.0,8,1000,270.0,0,47.5581,-122.363,1270.0,1325,2015,04,17.0,98106
671000.0,4.0,2.75,1890.0,1475.0,2.0,0,0,3.0,9,1200,690.0,0,47.6472,-122.383,1650.0,1682,2015,04,8.0,98199
235000.0,3.0,1.0,1430.0,7599.0,1.5,0,0,4.0,6,1010,,0,47.4783,-122.265,1290.0,10320,2015,04,93.0,98168
774950.0,4.0,2.5,3410.0,179419.0,2.0,0,0,3.0,10,3410,0.0,0,47.3602,-121.986,3350.0,175421,2014,11,19.0,98051
219950.0,3.0,1.0,1020.0,4960.0,1.5,0,0,3.0,6,920,100.0,0,47.5328,-122.275,1230.0,7335,2015,02,97.0,98118
620000.0,5.0,1.75,2000.0,8713.0,1.0,0,2,3.0,7,1000,1000.0,0,47.5882,-122.117,2040.0,8449,2015,03,61.0,98008
,2.0,1.0,750.0,4515.0,1.0,0,0,3.0,6,750,0.0,0,47.5198,-122.351,1020.0,5000,2014,08,81.0,98106
760000.0,4.0,1.75,2450.0,13300.0,1.0,0,2,4.0,9,1630,820.0,0,47.5564,-122.13,3150.0,15500,2014,05,36.0,98006
540000.0,6.0,3.0,2870.0,206474.0,2.0,0,0,3.0,7,2330,540.0,1,47.401,-122.095,2380.0,59677,2014,12,63.0,98042
232000.0,2.0,1.0,1240.0,12092.0,1.0,0,0,3.0,6,960,280.0,1,47.4957,-122.352,1820.0,7460,2014,09,101.0,98146
730000.0,3.0,3.5,2440.0,3502.0,2.0,0,0,3.0,7,1970,470.0,0,47.589,-122.165,2440.0,3417,2015,04,23.0,98005
235000.0,2.0,2.25,1660.0,2748.0,2.0,0,0,3.0,7,1660,0.0,0,47.4333,-122.212,1620.0,3167,2014,12,28.0,98055
400000.0,4.0,1.5,2150.0,11026.0,1.0,0,0,4.0,7,2150,0.0,0,47.7635,-122.263,1760.0,10283,2014,09,71.0,98028
475000.0,3.0,2.5,2160.0,35912.0,2.0,0,0,3.0,8,2160,0.0,0,47.7273,-122.083,2230.0,35244,2014,08,41.0,98072
464500.0,4.0,2.5,1750.0,11381.0,1.0,0,0,4.0,7,1610,140.0,0,47.7425,-122.321,1080.0,11375,2014,08,76.0,98155
604700.0,4.0,2.75,2750.0,14982.0,1.0,0,3,3.0,9,1720,1030.0,0,47.3566,-122.32,2860.0,16344,2014,05,42.0,98198
1120000.0,5.0,1.5,2540.0,6660.0,2.0,0,3,4.0,8,2340,200.0,0,47.5144,-122.393,2460.0,9000,2014,06,69.0,98136
615000.0,4.0,1.5,1980.0,3240.0,1.5,0,0,4.0,8,1780,200.0,0,47.584,-122.294,2250.0,4000,2015,04,93.0,98144
360000.0,3.0,2.5,2150.0,14092.0,2.0,0,0,3.0,8,2150,0.0,0,47.4621,-122.129,2400.0,10699,2015,05,32.0,98058
368000.0,3.0,2.5,2080.0,4307.0,2.0,0,0,3.0,7,2080,0.0,0,47.53,-121.848,2080.0,4947,2014,09,19.0,98065
489000.0,2.0,2.25,1290.0,1334.0,3.0,0,0,3.0,8,1290,0.0,0,47.6719,-122.382,1350.0,1334,2015,01,16.0,98107
459000.0,4.0,2.75,2790.0,6600.0,2.0,0,0,3.0,9,2790,0.0,0,47.4362,-122.109,2900.0,6752,2014,10,23.0,98058
254950.0,3.0,2.5,1794.0,4769.0,2.0,0,0,3.0,7,1794,0.0,0,47.3052,-122.283,3557.0,4807,2014,09,18.0,98001
200000.0,5.0,1.75,1770.0,15525.0,1.0,0,0,4.0,7,1770,0.0,0,47.5025,-122.142,1370.0,10395,2014,08,64.0,98059
1450000.0,,3.0,4380.0,6320.0,2.0,0,3,5.0,10,3580,800.0,0,47.6452,-122.411,3080.0,7680,2014,10,71.0,98199
411000.0,3.0,1.75,1490.0,9844.0,1.0,0,0,4.0,7,1190,300.0,0,47.7626,-122.297,1840.0,10150,2014,07,64.0,98155
315000.0,5.0,1.75,2320.0,8100.0,1.0,0,0,4.0,7,1160,1160.0,0,47.4631,-122.341,1410.0,7271,2014,05,67.0,98166
468000.0,4.0,2.5,2150.0,8165.0,1.0,0,0,3.0,8,1430,720.0,0,47.773,-122.371,2360.0,7980,2015,02,66.0,98177
465000.0,3.0,2.25,1970.0,11088.0,1.0,0,0,4.0,8,1180,790.0,0,47.7651,-122.277,1970.0,10470,2014,05,56.0,98155
454900.0,3.0,1.75,2130.0,9775.0,1.0,0,0,4.0,8,1430,700.0,0,47.5326,-122.049,2130.0,11250,2015,02,50.0,98027
325000.0,4.0,1.5,1870.0,7220.0,2.0,0,0,3.0,7,1870,0.0,0,47.77,-122.319,1550.0,7592,2014,08,67.0,98155
237500.0,2.0,1.0,810.0,8494.0,1.0,0,0,3.0,6,810,0.0,0,47.7389,-122.324,1050.0,7975,2014,09,74.0,98155
650000.0,4.0,2.75,1910.0,16532.0,1.0,0,0,4.0,7,1420,490.0,0,47.6952,-122.39,2300.0,8250,2014,06,83.0,98117
490000.0,3.0,2.5,2080.0,12032.0,2.0,0,0,3.0,8,2080,0.0,0,47.7455,-122.073,2320.0,9900,2015,02,45.0,98077
400000.0,2.0,1.0,880.0,5111.0,1.0,0,0,3.0,6,880,0.0,0,47.6997,-122.314,1370.0,5111,2014,12,92.0,98115
2160000.0,3.0,3.5,3080.0,6495.0,2.0,0,3,3.0,11,2530,550.0,1,47.6321,-122.393,4120.0,8620,2014,08,27.0,98199
305000.0,3.0,2.5,1714.0,3240.0,2.0,0,0,3.0,8,1714,0.0,0,47.4288,-122.19,1714.0,3240,2015,04,18.0,98031
355000.0,2.0,1.0,1350.0,368517.0,1.0,0,0,3.0,6,1350,0.0,0,47.7617,-122.061,2330.0,104108,2014,10,76.0,98077
325000.0,3.0,1.5,1590.0,7936.0,1.0,0,0,3.0,7,1590,0.0,0,47.5201,-122.366,1590.0,7936,2015,03,67.0,98106
160000.0,2.0,1.0,830.0,4500.0,1.0,0,0,3.0,6,830,0.0,0,47.5248,-122.265,1092.0,5350,2014,11,103.0,98118
1191000.0,5.0,2.5,2710.0,14989.0,1.0,0,0,3.0,8,1720,990.0,0,47.6411,-122.207,3180.0,16624,2015,02,64.0,98004
432000.0,3.0,1.75,1470.0,6250.0,1.0,0,3,4.0,7,1070,400.0,0,47.7394,-122.288,2630.0,7050,2014,06,84.0,98155
382000.0,4.0,3.5,2530.0,3000.0,2.0,0,0,3.0,8,1850,680.0,0,47.4919,-122.336,1470.0,6000,2014,08,9.0,98146
449950.0,4.0,2.5,2420.0,5244.0,2.0,0,0,3.0,9,2420,0.0,0,47.4729,-122.35,1400.0,5250,2015,03,16.0,98166
1265000.0,3.0,1.75,2240.0,5657.0,1.5,0,2,4.0,8,1910,330.0,0,47.6621,-122.27,2970.0,5657,2015,02,82.0,98105
,4.0,2.5,2570.0,4412.0,2.0,0,0,3.0,9,2570,0.0,0,47.7076,-122.232,2460.0,5470,2014,10,22.0,98034
312620.0,3.0,2.5,1260.0,11877.0,1.0,0,0,3.0,7,1260,0.0,0,47.4442,-121.762,1430.0,9790,2014,11,48.0,98045
274900.0,3.0,2.0,1936.0,6612.0,2.0,0,0,3.0,7,1936,0.0,0,47.2602,-122.246,1620.0,21600,2014,10,9.0,98047
510000.0,6.0,4.5,3300.0,7480.0,2.0,0,0,3.0,8,3300,0.0,0,47.6796,-122.104,2470.0,7561,2014,07,43.0,98052
330000.0,4.0,2.0,1750.0,5202.0,1.0,0,1,4.0,6,1070,680.0,0,47.5677,-122.317,2090.0,5400,2014,12,81.0,98108
475000.0,5.0,2.75,3080.0,6600.0,2.0,0,0,3.0,9,3080,0.0,0,47.4501,-122.122,3080.0,6600,2015,03,21.0,98058
475000.0,3.0,1.75,1330.0,14560.0,1.0,0,0,3.0,7,1330,0.0,0,47.6599,-122.135,1510.0,9890,2014,12,40.0,98052
319950.0,3.0,2.5,1980.0,9907.0,2.0,0,0,3.0,8,1980,0.0,0,47.1903,-122.013,2050.0,9907,2014,09,32.0,98022
166600.0,3.0,1.75,1150.0,8690.0,1.0,0,0,4.0,7,1150,0.0,0,47.3729,-122.115,1330.0,7040,2014,11,46.0,98042
420000.0,3.0,2.5,1470.0,1445.0,2.0,0,0,3.0,8,1160,310.0,0,47.5468,-121.998,1470.0,1525,2015,05,18.0,98029
251000.0,3.0,1.5,1590.0,21600.0,1.5,0,0,4.0,7,1590,0.0,0,47.2159,-121.966,1780.0,21600,2015,04,52.0,98022
719000.0,3.0,2.5,1690.0,4500.0,1.5,0,1,4.0,8,1690,0.0,0,47.5841,-122.383,2140.0,7200,2014,05,95.0,98116
350000.0,2.0,1.75,1080.0,7242.0,2.0,0,0,4.0,7,1080,0.0,0,47.7065,-122.235,1800.0,7321,2014,07,39.0,98034
815241.0,5.0,2.25,2060.0,4800.0,2.5,0,0,3.0,8,2060,0.0,0,47.66,-122.282,1740.0,4800,2014,09,116.0,98105
630000.0,4.0,2.0,2480.0,3680.0,1.5,0,0,4.0,7,1470,1010.0,0,47.5686,-122.392,1500.0,5750,2015,04,107.0,98116
583000.0,4.0,2.5,3390.0,10519.0,2.0,0,2,3.0,10,3390,0.0,0,47.332,-122.334,2830.0,10519,2015,01,33.0,98003
772650.0,4.0,2.5,2660.0,10800.0,1.0,0,0,3.0,7,2660,0.0,1,47.5894,-122.172,2640.0,10800,2014,06,68.0,98005
1335000.0,5.0,2.25,4200.0,5800.0,2.5,0,0,4.0,9,2910,1290.0,0,47.6284,-122.312,3060.0,5800,2014,06,117.0,98112
,4.0,2.5,3490.0,9030.0,1.5,0,0,4.0,8,3490,0.0,0,47.3198,-122.386,2540.0,8400,2014,08,54.0,98023
500000.0,3.0,2.25,1700.0,9008.0,1.0,0,0,3.0,8,1340,360.0,0,47.7161,-122.317,2340.0,8003,2015,04,38.0,98125
390000.0,4.0,2.25,1770.0,33132.0,1.0,0,0,4.0,8,1190,580.0,0,47.4413,-122.151,2490.0,20000,2014,05,58.0,98058
213400.0,4.0,2.5,1680.0,6655.0,2.0,0,0,3.0,7,1680,0.0,0,47.3867,-122.191,1680.0,6982,2014,12,22.0,98030
703770.0,4.0,2.25,2550.0,12918.0,2.0,0,0,3.0,9,2550,0.0,0,47.5623,-122.109,2550.0,11036,2014,11,36.0,99007
462500.0,4.0,1.0,1540.0,4500.0,1.5,0,0,2.0,7,1540,0.0,0,47.587,-122.384,1920.0,6000,2014,09,118.0,98116
795000.0,4.0,2.5,3160.0,16564.0,2.0,0,0,3.0,10,3160,0.0,0,47.6365,-122.04,3160.0,12415,2014,07,36.0,98074
285000.0,3.0,,2437.0,5136.0,2.0,0,0,3.0,7,2437,0.0,0,47.3517,-122.21,2437.0,4614,2014,06,12.0,98002
430000.0,3.0,1.5,1550.0,5034.0,2.0,0,0,4.0,7,1550,0.0,0,47.7072,-122.36,1820.0,7200,2014,08,101.0,98177
449950.0,3.0,2.5,1530.0,3840.0,2.0,0,0,3.0,8,1530,0.0,0,47.5691,-122.007,1720.0,3985,2014,07,29.0,98029
380000.0,5.0,2.0,1680.0,3240.0,1.0,0,0,3.0,5,840,840.0,0,47.5965,-122.311,1380.0,1260,2015,02,117.0,98144
,3.0,2.75,2250.0,9600.0,2.5,0,0,4.0,9,1830,420.0,1,47.6033,-122.287,2060.0,4980,2014,08,114.0,98122
665000.0,4.0,2.25,2650.0,8149.0,1.0,0,0,4.0,8,1610,1040.0,0,47.5624,-122.176,2290.0,8019,2015,03,48.0,98006
340000.0,2.0,1.75,1270.0,1916.0,2.0,0,0,3.0,8,1270,0.0,0,47.5648,-122.294,1140.0,1916,2014,11,11.0,98108
372500.0,3.0,1.75,1680.0,8648.0,1.0,0,0,4.0,7,1680,0.0,0,47.7338,-122.332,1290.0,8147,2015,03,60.0,98133
308000.0,3.0,1.0,1980.0,39150.0,1.5,0,0,3.0,6,1580,400.0,0,47.3818,-122.225,1860.0,11811,2014,10,91.0,98030
1350000.0,4.0,3.5,4680.0,12495.0,2.0,0,0,3.0,10,3040,1640.0,0,47.6984,-122.206,3240.0,10749,2015,03,15.0,98033
320000.0,2.0,1.0,1100.0,8281.0,1.0,0,0,4.0,7,1100,0.0,0,47.7414,-122.315,1510.0,8281,2014,06,76.0,98155
238000.0,3.0,1.0,1240.0,5700.0,1.5,0,0,5.0,6,1240,0.0,0,47.4927,-122.169,1140.0,5700,2014,08,70.0,98056
756000.0,4.0,2.25,2160.0,5600.0,1.0,0,0,5.0,7,1080,1080.0,0,47.6442,-122.372,1850.0,5150,2014,06,76.0,98119
925000.0,4.0,3.25,3640.0,60086.0,2.0,0,0,3.0,10,3640,0.0,0,47.6328,-122.016,2900.0,51721,2014,08,18.0,98074
449500.0,3.0,2.0,1770.0,6610.0,1.0,0,0,4.0,7,960,810.0,0,47.7703,-122.343,2010.0,4361,2014,05,69.0,98133
668000.0,5.0,3.5,3990.0,42436.0,2.0,0,0,3.0,9,2710,1280.0,0,47.461,-122.0,3030.0,41684,2014,07,21.0,98027
399950.0,3.0,2.5,1610.0,1320.0,2.0,0,0,3.0,7,1280,330.0,0,47.6,-122.298,1480.0,1602,2015,03,16.0,98144
645000.0,4.0,2.5,2430.0,14400.0,1.0,0,0,5.0,8,1670,760.0,0,47.6202,-122.138,2140.0,9048,2014,06,60.0,98007
400000.0,2.0,1.0,1180.0,10800.0,1.0,0,0,3.0,7,1180,0.0,0,47.7273,-122.236,1600.0,10800,2014,08,39.0,98034
375000.0,3.0,1.75,1440.0,8775.0,1.0,0,0,3.0,7,1440,0.0,0,47.7231,-122.17,1790.0,7865,2014,05,50.0,98034
189000.0,2.0,2.0,1700.0,3171.0,1.0,0,0,5.0,5,850,850.0,0,47.3025,-122.224,1380.0,5906,2014,05,96.0,98002
234000.0,,1.0,1040.0,8122.0,1.0,0,0,5.0,7,1040,0.0,0,47.3731,-122.312,1470.0,8676,2015,03,52.0,98198
235000.0,2.0,1.0,720.0,,1.0,0,0,4.0,6,720,0.0,0,47.5534,-122.375,1510.0,4840,2014,06,76.0,98126
439000.0,5.0,3.5,2880.0,10000.0,2.0,0,3,3.0,8,1980,900.0,0,47.4874,-122.223,2120.0,9535,2015,02,32.0,98057
530000.0,4.0,2.25,1940.0,8270.0,2.0,0,0,5.0,7,1940,0.0,0,47.7567,-122.333,1800.0,7743,2015,05,61.0,98133
1095000.0,0.0,0.0,3064.0,4764.0,3.5,0,2,3.0,7,3064,0.0,0,47.6362,-122.322,2360.0,4000,2014,06,33.0,98102
426000.0,2.0,2.5,1550.0,2657.0,2.0,0,0,4.0,8,1550,0.0,0,47.7034,-122.188,1570.0,2442,2015,04,36.0,98034
360000.0,4.0,2.5,1900.0,5889.0,2.0,0,0,3.0,7,1900,0.0,0,47.349,-122.031,1870.0,6405,2014,12,31.0,98038
265000.0,3.0,1.0,960.0,9748.0,1.0,0,0,3.0,5,960,0.0,0,47.5259,-121.815,1600.0,9958,2014,12,101.0,98065
498000.0,3.0,1.5,1720.0,6570.0,1.5,0,0,4.0,8,1720,0.0,0,47.5284,-122.265,1360.0,6000,2015,04,114.0,98118
865000.0,3.0,2.5,3050.0,12558.0,2.0,0,0,3.0,10,3050,0.0,0,47.6549,-122.089,3543.0,12558,2014,11,26.0,98052
240000.0,3.0,1.0,1230.0,2353.0,1.5,0,0,4.0,6,1230,0.0,0,47.5177,-122.354,1280.0,1572,2015,05,98.0,98106
749500.0,4.0,2.75,2490.0,3840.0,1.5,0,0,4.0,7,1610,880.0,0,47.6551,-122.344,1420.0,4000,2014,09,101.0,98103
588000.0,3.0,2.0,1860.0,4777.0,2.0,0,0,5.0,7,1860,0.0,0,47.6892,-122.311,1580.0,3822,2014,07,115.0,98115
250000.0,3.0,2.25,1560.0,15340.0,2.0,0,0,3.0,7,1560,0.0,0,47.4989,-122.322,1560.0,8260,2014,08,26.0,98168
689000.0,4.0,2.75,3250.0,10000.0,2.0,0,0,3.0,9,3250,0.0,0,47.7557,-122.309,1620.0,10089,2014,12,9.0,98155
540000.0,4.0,1.75,2260.0,19500.0,1.0,0,2,3.0,8,1450,810.0,0,47.6555,-122.086,2980.0,19500,2014,08,52.0,98052
315000.0,3.0,1.0,1900.0,14400.0,1.0,0,0,4.0,7,1300,600.0,0,47.4147,-122.337,1940.0,14400,2015,01,69.0,98166
253000.0,3.0,2.5,2020.0,6564.0,1.0,0,0,3.0,7,1310,710.0,0,47.3545,-122.158,1710.0,5151,2014,10,29.0,98042
1225000.0,4.0,2.75,3410.0,95396.0,1.5,0,0,4.0,10,3410,0.0,0,47.6547,-122.158,3721.0,35352,2014,07,61.0,98033
410000.0,4.0,2.25,2200.0,8292.0,2.0,0,0,3.0,7,2200,0.0,0,47.7456,-122.315,1090.0,8290,2014,10,33.0,98155
480000.0,3.0,1.0,1160.0,8800.0,1.0,0,0,4.0,7,1160,0.0,0,47.6112,-122.128,,8400,2014,12,64.0,98008
763000.0,4.0,1.75,1850.0,4388.0,2.0,0,0,5.0,8,1850,0.0,0,47.6885,-122.381,1410.0,4107,2015,04,82.0,98117
420000.0,5.0,2.75,2280.0,10319.0,1.0,0,0,3.0,8,1300,980.0,0,47.7566,-122.363,2370.0,8056,2014,06,64.0,98177
658100.0,4.0,2.5,2430.0,8509.0,2.0,0,0,3.0,9,2430,0.0,0,47.5714,-121.991,2760.0,8509,2014,07,31.0,98029
,3.0,2.5,2060.0,5115.0,2.0,0,0,3.0,9,2060,0.0,0,47.3261,-122.163,2648.0,4500,2014,07,9.0,98092
605000.0,4.0,2.25,1750.0,6120.0,1.0,0,0,3.0,7,1150,600.0,0,47.6958,-122.29,1350.0,6120,2015,03,61.0,98115
845000.0,3.0,1.75,1600.0,2538.0,2.0,0,0,3.0,7,1600,0.0,0,47.6447,-122.327,1660.0,1750,2015,03,94.0,98102
647500.0,4.0,1.75,2060.0,26036.0,1.0,0,0,4.0,8,1160,900.0,0,47.4444,-122.351,2590.0,21891,2014,05,76.0,98166
241000.0,3.0,1.0,880.0,6050.0,1.0,0,0,3.0,6,880,0.0,0,47.4995,-122.248,1130.0,6050,2015,02,78.0,98178
178000.0,3.0,1.0,840.0,6500.0,1.0,0,0,5.0,6,840,0.0,0,47.3704,-122.08,870.0,5200,2014,07,54.0,98042
735000.0,3.0,3.25,2960.0,39370.0,2.0,0,0,3.0,10,2960,0.0,0,47.7452,-122.202,2960.0,56628,2014,08,34.0,98011
549000.0,3.0,2.25,1920.0,10961.0,2.0,0,0,3.0,8,1920,0.0,0,47.6432,-122.057,2000.0,10706,2014,07,42.0,98074
577000.0,3.0,1.5,1560.0,20251.0,1.0,0,0,5.0,7,1200,360.0,0,47.619,-122.054,1560.0,19119,2014,11,34.0,98074
476900.0,3.0,1.0,1240.0,5758.0,1.5,0,0,4.0,6,960,280.0,0,47.5675,-122.396,1460.0,5750,2015,05,113.0,98116
324950.0,2.0,1.5,1643.0,14616.0,1.0,0,1,4.0,7,1643,0.0,0,47.3973,-122.312,2270.0,9940,2015,02,69.0,98198
640000.0,4.0,2.5,2500.0,7417.0,2.0,0,0,3.0,9,2500,0.0,0,47.6251,-122.026,2770.0,8188,2014,07,32.0,98074
